pailit,-5
singkir,-5
lorot,-4
tetes,-3
roboh,-5
cebur,-5
biak,-3
jeblos,-4
gelincir,-3
rebah,-3
nyesel,-5
biasin,-3
terjun,-3
rusuh,-4
dapat,-2
tangkap tangan,-4
pelanting,-3
lubang,-3
cemplung,-4
jeblos,-4
diem,-3
pergok,-5
kaya,-2
banting,-3
tangkap basah,-3
babar,-1
terjerembab,-2
luruh,-2
gelincir,-3
buang,-2
henti tugas,-2
gogrok,-3
jelabak,-3
sembul,-3
cape,-4
cuat,-3
unjuk,-3
songsong,-2
balik,-2
sekutu,-3
kekang,-4
elu,-2
asa,-2
temenan,-2
purnama,-3
ekstrem,-4
dahulu,-1
inklusif,-2
baca,-1
revolusioner,-1
asak,-3
lelang,-3
mula,-3
radikal,-4
jejal,-3
begah,-2
telak,-3
telik,-2
hati,-3
ingat,-3
jaga,-3
entah,-3
tajam mata,-1
kelih,-3
please,-3
tae,-4
awas,-3
si dia,-3
gaboleh,-4
denger,-3
suruh,-2
waspada,-3
entah,-3
pelit,-5
kial,-4
nemu,-2
kroni,-3
bot,-2
cute,-1
rekan,-2
pihak,-3
wacana,-3
tengok,-2
subang,-1
komplot,-4
giwang,-1
lendeh,-3
simpuh,-3
ogah,-3
gelesot,-3
tumpang tinggal,-4
kuliah,-2
bulan,-1
semayam,-3
ampas kopi,-2
meni,-2
manja,-3
polos,-2
cokol,-4
cokol,-4
sia,-5
esok,-2
maneh,-3
himpit,-4
tindas,-5
pilih,-2
ngasih,-2
heboh,-3
pilih,-3
bete,-5
payudara,-3
man,-1
tetek,-4
onar,-5
buah dada,-3
biarin,-3
gempar,-4
dempet,-3
sebel,-5
ucap,-2
bergas,-2
gadang,-4
kawal,-2
alam,-1
sadar,-1
dukacarita,-4
apasih,-4
gugah,-1
tindik,-3
drama duka,-4
pindah,-3
oma,-2
derita,-5
tugas,-1
asri,-3
borak,-4
pedih,-5
pulak,-2
sunduk,-3
rawat,-3
buyut,-3
tragedi,-5
kecek,-3
andal,-1
sial,-5
kismat,-2
daya muat,-2
amuk,-5
surat takdir,-3
malang,-5
geruh,-4
iyain,-2
dikatain,-3
duluan,-2
pokok,-3
daya tampung,-2
daya serap,-2
nahas,-2
untung,-1
bahala,-3
gerhana,-2
sedi,-2
sengaja,-2
segitu,-3
php,-4
fk,-4
tendas,-4
kira,-3
gabut,-5
statis,-3
pasif,-3
batu,-2
hiatus,-2
stagnan,-3
bisu,-3
biar,-3
gasuka,-4
lepas,-2
rasa,-2
huhuhu,-2
bungkam,-4
kosong,-4
bajing,-5
rasa hati,-2
